Book name                                                    Author                    Publication Date

Python Pocket Reference                                      Mark Lutz                 Mark Lutz 
Learning Python                                              Mark Lutz                 Mark Lutz 
Automate The Boring Stuff With Python                        Al Sweigart               Al Sweigart
Python Crash Course                                          Eric Matthes              Eric Matthes
Fluent Python                                                Luciano Ramalho           Luciano Ramalho
Python For Kids                                              Jason Briggs              Jason Briggs
Learn Python the Hard Way                                    Zed A. Shaw               Zed A. Shaw
Python for Data Analysis, 2e                                 Wes McKinney              Wes McKinney
Coding for Beginners: Using Python                           Louie Stowell             Louie Stowell
Python Programming for the Absolute Beginner, Third Edition  Michael Dawson            Michael Dawson
Black Hat Python                                             Justin Seitz              Justin Seitz
Introduction to Machine Learning with Python                 Andreas C. Mueller        Andreas C. Mueller
Learn Python 3 the Hard Way                                  Zed A. Shaw               Zed A. Shaw
Python                                                       Christopher Cheng         Christopher Cheng
Computer Coding Python Projects for Kids                     Carol Vorderman           Carol Vorderman
The Python Years                                             Michael Palin             Michael Palin
Python Data Science Handbook                                 Jake Vanderplas           Jake Vanderplas
Effective Python                                             Brett Slatkin             Brett Slatkin
Python Machine Learning                                      Sebastian Raschka         Sebastian Raschka
Deep Learning with Python                                    Francois Chollet          Francois Chollet
Programming Python                                           Mark Lutz                 Mark Lutz 
Python Cookbook: No. 3                                       Brian K. Jones            Brian K. Jones
Violent Python                                               TJ O'Connor               TJ O'Connor
Introducing Python                                           Bill Lubanovic            Bill Lubanovic
Python Machine Learning -                                    Vahid Mirjalili           Vahid Mirjalili
The Greedy Python                                            Dr Richard Buckley        Dr Richard Buckley
Think Python, 2e                                             Allen B. Downey           Allen B. Downey
Natural Language Processing with Python                      Ewan Klein                Ewan Klein
Python Essential Reference                                   David Beazley             David Beazley
Monty Python Fluxx                                           Todd Cameron Hamilton     Todd Cameron Hamilton
