high,date
50.0,1999-11-18
43.0,1999-11-19
44.0,1999-11-22
43.63,1999-11-23
41.94,1999-11-24
41.5,1999-11-26
42.44,1999-11-29
42.94,1999-11-30
43.44,1999-12-01
45.0,1999-12-02
45.69,1999-12-03
46.44,1999-12-06
46.0,1999-12-07
45.63,1999-12-08
45.94,1999-12-09
45.94,1999-12-10
46.25,1999-12-13
45.38,1999-12-14
42.31,1999-12-15
48.0,1999-12-16
47.12,1999-12-17
46.94,1999-12-20
46.69,1999-12-21
47.56,1999-12-22
50.0,1999-12-23
53.19,1999-12-27
61.5,1999-12-28
79.06,1999-12-29
80.0,1999-12-30
79.94,1999-12-31
78.94,2000-01-03
68.88,2000-01-04
66.31,2000-01-05
62.0,2000-01-06
65.94,2000-01-07
69.63,2000-01-10
68.94,2000-01-11
68.0,2000-01-12
69.81,2000-01-13
69.38,2000-01-14
72.88,2000-01-18
72.0,2000-01-19
70.88,2000-01-20
69.38,2000-01-21
71.81,2000-01-24
69.63,2000-01-25
69.25,2000-01-26
70.5,2000-01-27
69.5,2000-01-28
67.63,2000-01-31
72.0,2000-02-01
76.5,2000-02-02
77.75,2000-02-03
77.75,2000-02-04
80.0,2000-02-07
82.19,2000-02-08
78.69,2000-02-09
78.81,2000-02-10
76.81,2000-02-11
76.94,2000-02-14
83.0,2000-02-15
81.88,2000-02-16
97.0,2000-02-17
95.88,2000-02-18
97.38,2000-02-22
100.0,2000-02-23
115.4,2000-02-24
113.9,2000-02-25
109.2,2000-02-28
105.2,2000-02-29
111.8,2000-03-01
110.0,2000-03-02
111.8,2000-03-03
162.0,2000-03-06
161.0,2000-03-07
152.0,2000-03-08
154.0,2000-03-09
154.9,2000-03-10
138.9,2000-03-13
136.0,2000-03-14
128.1,2000-03-15
123.0,2000-03-16
127.0,2000-03-17
121.5,2000-03-20
115.0,2000-03-21
120.9,2000-03-22
123.8,2000-03-23
121.0,2000-03-24
119.5,2000-03-27
121.9,2000-03-28
121.0,2000-03-29
112.5,2000-03-30
106.0,2000-03-31
103.3,2000-04-03
102.4,2000-04-04
99.88,2000-04-05
105.0,2000-04-06
125.0,2000-04-07
122.0,2000-04-10
104.9,2000-04-11
99.25,2000-04-12
97.0,2000-04-13
89.44,2000-04-14
82.63,2000-04-17
88.0,2000-04-18
89.94,2000-04-19
91.75,2000-04-20
92.38,2000-04-24
95.56,2000-04-25
95.19,2000-04-26
93.25,2000-04-27
90.06,2000-04-28
96.25,2000-05-01
104.1,2000-05-02
98.0,2000-05-03
91.5,2000-05-04
93.44,2000-05-05
91.88,2000-05-08
86.5,2000-05-09
79.69,2000-05-10
79.38,2000-05-11
98.0,2000-05-12
91.0,2000-05-15
96.94,2000-05-16
83.75,2000-05-17
78.94,2000-05-18
74.69,2000-05-19
68.0,2000-05-22
63.25,2000-05-23
59.94,2000-05-24
68.75,2000-05-25
68.5,2000-05-26
76.44,2000-05-30
78.19,2000-05-31
76.31,2000-06-01
82.0,2000-06-02
83.75,2000-06-05
75.5,2000-06-06
72.25,2000-06-07
69.81,2000-06-08
72.81,2000-06-09
72.63,2000-06-12
71.75,2000-06-13
71.5,2000-06-14
67.94,2000-06-15
66.56,2000-06-16
69.0,2000-06-19
75.88,2000-06-20
79.94,2000-06-21
79.81,2000-06-22
77.5,2000-06-23
76.31,2000-06-26
76.81,2000-06-27
80.19,2000-06-28
79.94,2000-06-29
79.5,2000-06-30
74.19,2000-07-03
72.69,2000-07-05
70.44,2000-07-06
70.44,2000-07-07
70.25,2000-07-10
68.56,2000-07-11
70.63,2000-07-12
72.5,2000-07-13
78.25,2000-07-14
80.94,2000-07-17
78.0,2000-07-18
76.06,2000-07-19
76.31,2000-07-20
51.5,2000-07-21
50.19,2000-07-24
49.5,2000-07-25
46.63,2000-07-26
44.94,2000-07-27
41.88,2000-07-28
42.19,2000-07-31
41.19,2000-08-01
41.19,2000-08-02
41.0,2000-08-03
41.44,2000-08-04
41.25,2000-08-07
39.69,2000-08-08
39.88,2000-08-09
39.81,2000-08-10
40.81,2000-08-11
43.56,2000-08-14
44.25,2000-08-15
